ANO_CMPT;internacoes;valor_total;custo_medio;custo_mediano
2015;77;48409.11;628.6897402597402;347.9
2016;126;71704.89;569.0864285714285;372.755
2017;21;12584.22;599.2485714285714;596.41
2018;66;41047.409999999996;621.9304545454545;114.5
2019;40;16754.52;418.863;143.05
2020;83;50557.12;609.1219277108434;171.0
2021;21;9109.51;433.7861904761905;57.0
2022;116;42940.88;370.17999999999995;114.0
2023;65;9984.86;153.61323076923077;57.0
2024;152;22535.45;148.2595394736842;57.0
2025;107;22642.67;211.613738317757;73.0
