ANO_CMPT;GRUPO_CID;n;idade_mediana;idade_media;idade_minima;idade_maxima
2015;Episódio depressivo;50;39.0;41.28;18;73
2015;Transtorno depressivo recorrente;23;44.0;42.0;15;80
2015;Transtornos ansiosos;4;47.0;41.5;20;52
2016;Episódio depressivo;64;42.0;39.1875;14;71
2016;Transtorno depressivo recorrente;39;47.0;42.8974358974359;24;60
2016;Transtornos ansiosos;23;41.0;38.608695652173914;8;65
2017;Episódio depressivo;10;33.5;37.7;19;64
2017;Transtorno depressivo recorrente;10;45.5;42.4;20;54
2017;Transtornos ansiosos;1;37.0;37.0;37;37
2018;Episódio depressivo;46;37.5;36.32608695652174;17;56
2018;Transtorno depressivo recorrente;20;36.0;37.25;11;55
2019;Episódio depressivo;31;42.0;39.96774193548387;12;76
2019;Transtorno depressivo recorrente;7;30.0;39.714285714285715;28;67
2019;Transtornos ansiosos;2;18.5;18.5;18;19
2020;Episódio depressivo;63;39.0;42.26984126984127;13;77
2020;Transtorno depressivo recorrente;18;45.0;42.77777777777778;17;55
2020;Transtornos ansiosos;2;50.0;50.0;16;84
2021;Episódio depressivo;16;31.5;34.6875;16;77
2021;Transtorno depressivo recorrente;4;41.0;40.25;23;56
2021;Transtornos ansiosos;1;47.0;47.0;47;47
2022;Episódio depressivo;94;32.0;34.8936170212766;13;70
2022;Transtorno depressivo recorrente;21;39.0;35.76190476190476;19;57
2022;Transtornos ansiosos;1;40.0;40.0;40;40
2023;Episódio depressivo;54;28.0;31.462962962962962;14;60
2023;Transtorno depressivo recorrente;10;38.0;35.0;18;46
2023;Transtornos ansiosos;1;47.0;47.0;47;47
2024;Episódio depressivo;109;30.0;31.89908256880734;11;74
2024;Transtorno depressivo recorrente;40;33.5;34.175;12;54
2024;Transtornos ansiosos;3;38.0;35.333333333333336;22;46
2025;Episódio depressivo;92;31.0;34.29347826086956;12;67
2025;Transtorno depressivo recorrente;14;33.5;35.92857142857143;17;60
2025;Transtornos ansiosos;1;21.0;21.0;21;21
