ANO_CMPT;GRUPO_CID;n;idade_mediana;idade_media;idade_minima;idade_maxima;idade_estimada
2015;Episódio depressivo;50;39.0;41.28;18;73;40.77272727272748
2016;Episódio depressivo;64;42.0;39.1875;14;71;39.62727272727261
2017;Episódio depressivo;10;33.5;37.7;19;64;38.4818181818182
2018;Episódio depressivo;46;37.5;36.32608695652174;17;56;37.336363636363785
2019;Episódio depressivo;31;42.0;39.96774193548387;12;76;36.19090909090892
2020;Episódio depressivo;63;39.0;42.26984126984127;13;77;35.045454545454504
2021;Episódio depressivo;16;31.5;34.6875;16;77;33.90000000000009
2022;Episódio depressivo;94;32.0;34.8936170212766;13;70;32.75454545454568
2023;Episódio depressivo;54;28.0;31.462962962962962;14;60;31.60909090909081
2024;Episódio depressivo;109;30.0;31.89908256880734;11;74;30.463636363636397
2025;Episódio depressivo;92;31.0;34.29347826086956;12;67;29.318181818181984
