ANO_CMPT;GRUPO_CID;internacoes;obitos;media_dias_internacao;valor_total
2015;Episódio depressivo;50;0;9.94;24153.53
2015;Transtorno depressivo recorrente;23;0;17.652173913043477;20577.69
2015;Transtornos ansiosos;4;0;19.25;3677.8900000000003
2016;Episódio depressivo;64;0;9.4375;28599.77
2016;Transtorno depressivo recorrente;39;0;14.23076923076923;27908.87
2016;Transtornos ansiosos;23;0;12.91304347826087;15196.25
2017;Episódio depressivo;10;0;12.3;6121.2699999999995
2017;Transtorno depressivo recorrente;10;0;12.8;5866.54
2017;Transtornos ansiosos;1;0;11.0;596.41
2018;Episódio depressivo;46;0;11.065217391304348;27857.66
2018;Transtorno depressivo recorrente;20;0;9.8;13189.75
2019;Episódio depressivo;31;0;8.64516129032258;12127.96
2019;Transtorno depressivo recorrente;7;0;7.714285714285714;3384.04
2019;Transtornos ansiosos;2;0;13.0;1242.52
2020;Episódio depressivo;63;0;8.968253968253968;32793.99
2020;Transtorno depressivo recorrente;18;0;12.777777777777779;17639.64
2020;Transtornos ansiosos;2;0;1.5;123.49000000000001
2021;Episódio depressivo;16;0;7.375;6029.12
2021;Transtorno depressivo recorrente;4;0;1.0;2668.4
2021;Transtornos ansiosos;1;0;6.0;411.99
2022;Episódio depressivo;94;0;6.691489361702128;29649.41
2022;Transtorno depressivo recorrente;21;0;8.571428571428571;12467.48
2022;Transtornos ansiosos;1;0;9.0;823.99
2023;Episódio depressivo;54;0;4.87037037037037;6731.97
2023;Transtorno depressivo recorrente;10;0;5.0;3252.89
2023;Transtornos ansiosos;1;0;1.0;0.0
2024;Episódio depressivo;109;0;3.963302752293578;13246.19
2024;Transtorno depressivo recorrente;40;0;4.85;9102.26
2024;Transtornos ansiosos;3;0;2.3333333333333335;187.0
2025;Episódio depressivo;92;0;3.6956521739130435;14618.35
2025;Transtorno depressivo recorrente;14;0;8.5;7529.93
2025;Transtornos ansiosos;1;0;7.0;494.39
