ANO_CMPT;MES_CMPT;GRUPO_CID;internacoes;obitos
2015;1;Episódio depressivo;17;0
2015;1;Transtorno depressivo recorrente;3;0
2015;1;Transtornos ansiosos;1;0
2015;4;Episódio depressivo;4;0
2015;4;Transtorno depressivo recorrente;7;0
2015;4;Transtornos ansiosos;3;0
2015;6;Episódio depressivo;8;0
2015;6;Transtorno depressivo recorrente;4;0
2015;7;Episódio depressivo;1;0
2015;8;Episódio depressivo;8;0
2015;8;Transtorno depressivo recorrente;4;0
2015;9;Episódio depressivo;11;0
2015;9;Transtorno depressivo recorrente;5;0
2015;10;Episódio depressivo;1;0
2016;1;Episódio depressivo;7;0
2016;1;Transtorno depressivo recorrente;9;0
2016;1;Transtornos ansiosos;2;0
2016;3;Episódio depressivo;3;0
2016;3;Transtorno depressivo recorrente;2;0
2016;3;Transtornos ansiosos;2;0
2016;6;Episódio depressivo;8;0
2016;6;Transtorno depressivo recorrente;2;0
2016;6;Transtornos ansiosos;3;0
2016;7;Episódio depressivo;14;0
2016;7;Transtorno depressivo recorrente;6;0
2016;7;Transtornos ansiosos;3;0
2016;8;Transtorno depressivo recorrente;2;0
2016;9;Episódio depressivo;10;0
2016;9;Transtorno depressivo recorrente;7;0
2016;9;Transtornos ansiosos;3;0
2016;10;Episódio depressivo;9;0
2016;10;Transtorno depressivo recorrente;5;0
2016;10;Transtornos ansiosos;4;0
2016;11;Episódio depressivo;8;0
2016;11;Transtorno depressivo recorrente;2;0
2016;11;Transtornos ansiosos;4;0
2016;12;Episódio depressivo;5;0
2016;12;Transtorno depressivo recorrente;4;0
2016;12;Transtornos ansiosos;2;0
2017;2;Episódio depressivo;4;0
2017;2;Transtorno depressivo recorrente;6;0
2017;3;Episódio depressivo;5;0
2017;3;Transtorno depressivo recorrente;4;0
2017;3;Transtornos ansiosos;1;0
2017;9;Episódio depressivo;1;0
2018;8;Episódio depressivo;7;0
2018;8;Transtorno depressivo recorrente;6;0
2018;9;Episódio depressivo;15;0
2018;9;Transtorno depressivo recorrente;2;0
2018;10;Episódio depressivo;15;0
2018;10;Transtorno depressivo recorrente;5;0
2018;12;Episódio depressivo;9;0
2018;12;Transtorno depressivo recorrente;7;0
2019;8;Episódio depressivo;1;0
2019;8;Transtorno depressivo recorrente;1;0
2019;9;Episódio depressivo;13;0
2019;9;Transtorno depressivo recorrente;1;0
2019;9;Transtornos ansiosos;2;0
2019;12;Episódio depressivo;17;0
2019;12;Transtorno depressivo recorrente;5;0
2020;2;Episódio depressivo;5;0
2020;2;Transtorno depressivo recorrente;6;0
2020;3;Episódio depressivo;13;0
2020;3;Transtorno depressivo recorrente;3;0
2020;3;Transtornos ansiosos;1;0
2020;5;Episódio depressivo;1;0
2020;6;Episódio depressivo;14;0
2020;8;Episódio depressivo;5;0
2020;9;Episódio depressivo;16;0
2020;9;Transtorno depressivo recorrente;4;0
2020;9;Transtornos ansiosos;1;0
2020;10;Episódio depressivo;7;0
2020;10;Transtorno depressivo recorrente;5;0
2020;11;Episódio depressivo;1;0
2020;12;Episódio depressivo;1;0
2021;1;Episódio depressivo;2;0
2021;1;Transtorno depressivo recorrente;1;0
2021;3;Episódio depressivo;1;0
2021;3;Transtorno depressivo recorrente;1;0
2021;4;Episódio depressivo;13;0
2021;4;Transtorno depressivo recorrente;2;0
2021;4;Transtornos ansiosos;1;0
2022;1;Episódio depressivo;11;0
2022;1;Transtorno depressivo recorrente;2;0
2022;3;Episódio depressivo;19;0
2022;3;Transtorno depressivo recorrente;8;0
2022;4;Episódio depressivo;20;0
2022;4;Transtorno depressivo recorrente;5;0
2022;8;Episódio depressivo;16;0
2022;8;Transtorno depressivo recorrente;4;0
2022;11;Episódio depressivo;28;0
2022;11;Transtorno depressivo recorrente;2;0
2022;11;Transtornos ansiosos;1;0
2023;2;Episódio depressivo;16;0
2023;2;Transtorno depressivo recorrente;6;0
2023;2;Transtornos ansiosos;1;0
2023;6;Episódio depressivo;9;0
2023;6;Transtorno depressivo recorrente;1;0
2023;11;Episódio depressivo;29;0
2023;11;Transtorno depressivo recorrente;3;0
2024;2;Episódio depressivo;27;0
2024;2;Transtorno depressivo recorrente;9;0
2024;3;Episódio depressivo;26;0
2024;3;Transtorno depressivo recorrente;8;0
2024;8;Episódio depressivo;26;0
2024;8;Transtorno depressivo recorrente;12;0
2024;8;Transtornos ansiosos;3;0
2024;9;Episódio depressivo;30;0
2024;9;Transtorno depressivo recorrente;11;0
2025;5;Episódio depressivo;26;0
2025;5;Transtorno depressivo recorrente;2;0
2025;5;Transtornos ansiosos;1;0
2025;8;Episódio depressivo;30;0
2025;8;Transtorno depressivo recorrente;2;0
2025;10;Episódio depressivo;36;0
2025;10;Transtorno depressivo recorrente;10;0
