ano;uf;populacao;quantidade_municipios
2015;AC;803513;22
2015;AL;3340932;102
2015;AM;3938336;62
2015;AP;766679;16
2015;BA;15203334;417
2015;CE;8904459;184
2015;DF;2914830;1
2015;ES;3929911;78
2015;GO;6610681;246
2015;MA;6904241;217
2015;MG;20869101;853
2015;MS;2651235;79
2015;MT;3265486;141
2015;PA;8175113;144
2015;PB;3972202;223
2015;PE;9345173;185
2015;PI;3204028;224
2015;PR;11163018;399
2015;RJ;16550024;92
2015;RN;3442175;167
2015;RO;1768204;52
2015;RR;505665;15
2015;RS;11247972;497
2015;SC;6819190;295
2015;SE;2242937;75
2015;SP;44396484;645
2015;TO;1515126;139
2016;AC;816687;22
2016;AL;3358963;102
2016;AM;4001667;62
2016;AP;782295;16
2016;BA;15276566;417
2016;CE;8963663;184
2016;DF;2977216;1
2016;ES;3973697;78
2016;GO;6695855;246
2016;MA;6954036;217
2016;MG;20997560;853
2016;MS;2682386;79
2016;MT;3305531;141
2016;PA;8272724;144
2016;PB;3999415;223
2016;PE;9410336;185
2016;PI;3212180;224
2016;PR;11242720;399
2016;RJ;16635996;92
2016;RN;3474998;167
2016;RO;1787279;52
2016;RR;514229;15
2016;RS;11286500;497
2016;SC;6910553;295
2016;SE;2265779;75
2016;SP;44749699;645
2016;TO;1532902;139
2017;AC;829619;22
2017;AL;3375823;102
2017;AM;4063614;62
2017;AP;797722;16
2017;BA;15344447;417
2017;CE;9020460;184
2017;DF;3039444;1
2017;ES;4016356;78
2017;GO;6778772;246
2017;MA;7000229;217
2017;MG;21119536;853
2017;MS;2713147;79
2017;MT;3344544;141
2017;PA;8366628;144
2017;PB;4025558;223
2017;PE;9473266;185
2017;PI;3219257;224
2017;PR;11320892;399
2017;RJ;16718956;92
2017;RN;3507003;167
2017;RO;1805788;52
2017;RR;522636;15
2017;RS;11322895;497
2017;SC;7001161;295
2017;SE;2288116;75
2017;SP;45094866;645
2017;TO;1550194;139
2019;AC;881935;22
2019;AL;3337357;102
2019;AM;4144597;62
2019;AP;845731;16
2019;BA;14873064;417
2019;CE;9132078;184
2019;DF;3015268;1
2019;ES;4018650;78
2019;GO;7018354;246
2019;MA;7075181;217
2019;MG;21168791;853
2019;MS;2778986;79
2019;MT;3484466;141
2019;PA;8602865;144
2019;PB;4018127;223
2019;PE;9557071;185
2019;PI;3273227;224
2019;PR;11433957;399
2019;RJ;17264943;92
2019;RN;3506853;167
2019;RO;1777225;52
2019;RR;605761;15
2019;RS;11377239;497
2019;SC;7164788;295
2019;SE;2298696;75
2019;SP;45919049;645
2019;TO;1572866;139
2020;AC;894470;22
2020;AL;3351543;102
2020;AM;4207714;62
2020;AP;861773;16
2020;BA;14930634;417
2020;CE;9187103;184
2020;DF;3055149;1
2020;ES;4064052;78
2020;GO;7113540;246
2020;MA;7114598;217
2020;MG;21292666;853
2020;MS;2809394;79
2020;MT;3526220;141
2020;PA;8690745;144
2020;PB;4039277;223
2020;PE;9616621;185
2020;PI;3281480;224
2020;PR;11516840;399
2020;RJ;17366189;92
2020;RN;3534165;167
2020;RO;1796460;52
2020;RR;631181;15
2020;RS;11422973;497
2020;SC;7252502;295
2020;SE;2318822;75
2020;SP;46289333;645
2020;TO;1590248;139
2021;AC;906876;22
2021;AL;3365351;102
2021;AM;4269995;62
2021;AP;877613;16
2021;BA;14985284;417
2021;CE;9240580;184
2021;DF;3094325;1
2021;ES;4108508;78
2021;GO;7206589;246
2021;MA;7153262;217
2021;MG;21411923;853
2021;MS;2839188;79
2021;MT;3567234;141
2021;PA;8777124;144
2021;PB;4059905;223
2021;PE;9674793;185
2021;PI;3289290;224
2021;PR;11597484;399
2021;RJ;17463349;92
2021;RN;3560903;167
2021;RO;1815278;52
2021;RR;652713;15
2021;RS;11466630;497
2021;SC;7338473;295
2021;SE;2338474;75
2021;SP;46649132;645
2021;TO;1607363;139
2024;AC;880631;22
2024;AL;3220104;102
2024;AM;4281209;62
2024;AP;802837;16
2024;BA;14850513;417
2024;CE;9233656;184
2024;DF;2982818;1
2024;ES;4102129;78
2024;GO;7350483;246
2024;MA;7010960;217
2024;MG;21322691;853
2024;MS;2901895;79
2024;MT;3836399;141
2024;PA;8664306;144
2024;PB;4145040;223
2024;PE;9539029;185
2024;PI;3375646;224
2024;PR;11824665;399
2024;RJ;17219679;92
2024;RN;3446071;167
2024;RO;1746227;52
2024;RR;716793;15
2024;RS;11229915;497
2024;SC;8058441;295
2024;SE;2291077;75
2024;SP;45973194;645
2024;TO;1577342;139
2025;AC;884372;22
2025;AL;3220848;102
2025;AM;4321616;62
2025;AP;806517;16
2025;BA;14870907;417
2025;CE;9268836;184
2025;DF;2996899;1
2025;ES;4126854;78
2025;GO;7423629;246
2025;MA;7018211;217
2025;MG;21393441;853
2025;MS;2924631;79
2025;MT;3893659;142
2025;PA;8711196;144
2025;PB;4164468;223
2025;PE;9562007;185
2025;PI;3384547;224
2025;PR;11890517;399
2025;RJ;17223547;92
2025;RN;3455236;167
2025;RO;1751950;52
2025;RR;738772;15
2025;RS;11233263;497
2025;SC;8187029;295
2025;SE;2299425;75
2025;SP;46081801;645
2025;TO;1586859;139
