ano;uf;codigo_uf;codigo_municipio;municipio;populacao
2015;AC;12;1200013;Acrelândia - AC;13869
2015;AC;12;1200054;Assis Brasil - AC;6738
2015;AC;12;1200104;Brasiléia - AC;23849
2015;AC;12;1200138;Bujari - AC;9339
2015;AC;12;1200179;Capixaba - AC;10498
2015;AC;12;1200203;Cruzeiro do Sul - AC;81519
2015;AC;12;1200252;Epitaciolândia - AC;16731
2015;AC;12;1200302;Feijó - AC;32385
2015;AC;12;1200328;Jordão - AC;7509
2015;AC;12;1200336;Mâncio Lima - AC;17173
2015;AC;12;1200344;Manoel Urbano - AC;8641
2015;AC;12;1200351;Marechal Thaumaturgo - AC;16895
2015;AC;12;1200385;Plácido de Castro - AC;18159
2015;AC;12;1200393;Porto Walter - AC;10759
2015;AC;12;1200401;Rio Branco - AC;370550
2015;AC;12;1200427;Rodrigues Alves - AC;16974
2015;AC;12;1200435;Santa Rosa do Purus - AC;5809
2015;AC;12;1200450;Senador Guiomard - AC;21182
2015;AC;12;1200500;Sena Madureira - AC;41750
2015;AC;12;1200609;Tarauacá - AC;38819
2015;AC;12;1200708;Xapuri - AC;17608
2015;AC;12;1200807;Porto Acre - AC;16757
2015;AL;27;2700102;Água Branca - AL;20434
2015;AL;27;2700201;Anadia - AL;17847
2015;AL;27;2700300;Arapiraca - AL;231053
2015;AL;27;2700409;Atalaia - AL;47298
2015;AL;27;2700508;Barra de Santo Antônio - AL;15742
2015;AL;27;2700607;Barra de São Miguel - AL;8266
2015;AL;27;2700706;Batalha - AL;18496
2015;AL;27;2700805;Belém - AL;4585
2015;AL;27;2700904;Belo Monte - AL;6775
2015;AL;27;2701001;Boca da Mata - AL;27399
2015;AL;27;2701100;Branquinha - AL;10745
2015;AL;27;2701209;Cacimbinhas - AL;10818
2015;AL;27;2701308;Cajueiro - AL;21355
2015;AL;27;2701357;Campestre - AL;6978
2015;AL;27;2701407;Campo Alegre - AL;56430
2015;AL;27;2701506;Campo Grande - AL;9664
2015;AL;27;2701605;Canapi - AL;17976
2015;AL;27;2701704;Capela - AL;17507
2015;AL;27;2701803;Carneiros - AL;8969
2015;AL;27;2701902;Chã Preta - AL;7421
2015;AL;27;2702009;Coité do Nóia - AL;10992
2015;AL;27;2702108;Colônia Leopoldina - AL;21636
2015;AL;27;2702207;Coqueiro Seco - AL;5870
2015;AL;27;2702306;Coruripe - AL;56631
2015;AL;27;2702355;Craíbas - AL;24288
2015;AL;27;2702405;Delmiro Gouveia - AL;51997
2015;AL;27;2702504;Dois Riachos - AL;11224
2015;AL;27;2702553;Estrela de Alagoas - AL;18306
2015;AL;27;2702603;Feira Grande - AL;22432
2015;AL;27;2702702;Feliz Deserto - AL;4746
2015;AL;27;2702801;Flexeiras - AL;12917
2015;AL;27;2702900;Girau do Ponciano - AL;40519
2015;AL;27;2703007;Ibateguara - AL;15803
2015;AL;27;2703106;Igaci - AL;26041
2015;AL;27;2703205;Igreja Nova - AL;24575
2015;AL;27;2703304;Inhapi - AL;18621
2015;AL;27;2703403;Jacaré dos Homens - AL;5429
2015;AL;27;2703502;Jacuípe - AL;7162
2015;AL;27;2703601;Japaratinga - AL;8350
2015;AL;27;2703700;Jaramataia - AL;5695
2015;AL;27;2703759;Jequiá da Praia - AL;11869
2015;AL;27;2703809;Joaquim Gomes - AL;24061
2015;AL;27;2703908;Jundiá - AL;4269
2015;AL;27;2704005;Junqueiro - AL;25084
2015;AL;27;2704104;Lagoa da Canoa - AL;18343
2015;AL;27;2704203;Limoeiro de Anadia - AL;28621
2015;AL;27;2704302;Maceió - AL;1013773
2015;AL;27;2704401;Major Isidoro - AL;20047
2015;AL;27;2704500;Maragogi - AL;32171
2015;AL;27;2704609;Maravilha - AL;9770
2015;AL;27;2704708;Marechal Deodoro - AL;51132
2015;AL;27;2704807;Maribondo - AL;13665
2015;AL;27;2704906;Mar Vermelho - AL;3622
2015;AL;27;2705002;Mata Grande - AL;25590
2015;AL;27;2705101;Matriz de Camaragibe - AL;25008
2015;AL;27;2705200;Messias - AL;17576
2015;AL;27;2705309;Minador do Negrão - AL;5425
2015;AL;27;2705408;Monteirópolis - AL;7241
2015;AL;27;2705507;Murici - AL;28335
2015;AL;27;2705606;Novo Lino - AL;12643
2015;AL;27;2705705;Olho d'Água das Flores - AL;21641
2015;AL;27;2705804;Olho d'Água do Casado - AL;9298
2015;AL;27;2705903;Olho d'Água Grande - AL;5178
2015;AL;27;2706000;Olivença - AL;11688
2015;AL;27;2706109;Ouro Branco - AL;11537
2015;AL;27;2706208;Palestina - AL;5004
2015;AL;27;2706307;Palmeira dos Índios - AL;73878
2015;AL;27;2706406;Pão de Açúcar - AL;24878
2015;AL;27;2706422;Pariconha - AL;10601
2015;AL;27;2706448;Paripueira - AL;12887
2015;AL;27;2706505;Passo de Camaragibe - AL;15419
2015;AL;27;2706604;Paulo Jacinto - AL;7682
2015;AL;27;2706703;Penedo - AL;64074
2015;AL;27;2706802;Piaçabuçu - AL;18011
2015;AL;27;2706901;Pilar - AL;35295
2015;AL;27;2707008;Pindoba - AL;2956
2015;AL;27;2707107;Piranhas - AL;24950
2015;AL;27;2707206;Poço das Trincheiras - AL;14493
2015;AL;27;2707305;Porto Calvo - AL;27288
2015;AL;27;2707404;Porto de Pedras - AL;8151
2015;AL;27;2707503;Porto Real do Colégio - AL;20205
2015;AL;27;2707602;Quebrangulo - AL;11592
2015;AL;27;2707701;Rio Largo - AL;75645
2015;AL;27;2707800;Roteiro - AL;6803
2015;AL;27;2707909;Santa Luzia do Norte - AL;7325
2015;AL;27;2708006;Santana do Ipanema - AL;47820
2015;AL;27;2708105;Santana do Mundaú - AL;11009
2015;AL;27;2708204;São Brás - AL;7034
2015;AL;27;2708303;São José da Laje - AL;24048
2015;AL;27;2708402;São José da Tapera - AL;32271
2015;AL;27;2708501;São Luís do Quitunde - AL;34623
2015;AL;27;2708600;São Miguel dos Campos - AL;60539
2015;AL;27;2708709;São Miguel dos Milagres - AL;7876
2015;AL;27;2708808;São Sebastião - AL;34211
2015;AL;27;2708907;Satuba - AL;13381
2015;AL;27;2708956;Senador Rui Palmeira - AL;13909
2015;AL;27;2709004;Tanque d'Arca - AL;6319
2015;AL;27;2709103;Taquarana - AL;19980
2015;AL;27;2709152;Teotônio Vilela - AL;44169
2015;AL;27;2709202;Traipu - AL;27798
2015;AL;27;2709301;União dos Palmares - AL;66017
2015;AL;27;2709400;Viçosa - AL;26212
2015;AM;13;1300029;Alvarães - AM;15545
2015;AM;13;1300060;Amaturá - AM;10847
2015;AM;13;1300086;Anamã - AM;12320
2015;AM;13;1300102;Anori - AM;19292
2015;AM;13;1300144;Apuí - AM;20648
2015;AM;13;1300201;Atalaia do Norte - AM;18133
2015;AM;13;1300300;Autazes - AM;37033
2015;AM;13;1300409;Barcelos - AM;27433
2015;AM;13;1300508;Barreirinha - AM;30658
2015;AM;13;1300607;Benjamin Constant - AM;39484
2015;AM;13;1300631;Beruri - AM;18171
2015;AM;13;1300680;Boa Vista do Ramos - AM;17668
2015;AM;13;1300706;Boca do Acre - AM;33498
2015;AM;13;1300805;Borba - AM;39292
2015;AM;13;1300839;Caapiranga - AM;12420
2015;AM;13;1300904;Canutama - AM;15130
2015;AM;13;1301001;Carauari - AM;27880
2015;AM;13;1301100;Careiro - AM;36435
2015;AM;13;1301159;Careiro da Várzea - AM;27981
2015;AM;13;1301209;Coari - AM;83078
2015;AM;13;1301308;Codajás - AM;26777
2015;AM;13;1301407;Eirunepé - AM;34025
2015;AM;13;1301506;Envira - AM;18786
2015;AM;13;1301605;Fonte Boa - AM;20742
2015;AM;13;1301654;Guajará - AM;15826
2015;AM;13;1301704;Humaitá - AM;51302
2015;AM;13;1301803;Ipixuna - AM;26860
2015;AM;13;1301852;Iranduba - AM;45984
2015;AM;13;1301902;Itacoatiara - AM;97122
