Categoria: Todas as categorias

Mês,depressão: (Brasil)
2015-01,29
2015-02,31
2015-03,33
2015-04,39
2015-05,38
2015-06,35
2015-07,34
2015-08,40
2015-09,42
2015-10,39
2015-11,38
2015-12,33
2016-01,30
2016-02,32
2016-03,36
2016-04,37
2016-05,36
2016-06,35
2016-07,33
2016-08,38
2016-09,45
2016-10,40
2016-11,38
2016-12,31
2017-01,33
2017-02,36
2017-03,40
2017-04,50
2017-05,47
2017-06,43
2017-07,41
2017-08,47
2017-09,48
2017-10,50
2017-11,49
2017-12,42
2018-01,39
2018-02,47
2018-03,45
2018-04,56
2018-05,49
2018-06,51
2018-07,45
2018-08,52
2018-09,62
2018-10,56
2018-11,66
2018-12,51
2019-01,52
2019-02,53
2019-03,57
2019-04,92
2019-05,82
2019-06,63
2019-07,64
2019-08,86
2019-09,100
2019-10,79
2019-11,72
2019-12,58
2020-01,57
2020-02,64
2020-03,58
2020-04,48
2020-05,52
2020-06,49
2020-07,54
2020-08,54
2020-09,65
2020-10,55
2020-11,58
2020-12,52
2021-01,53
2021-02,50
2021-03,52
2021-04,52
2021-05,55
2021-06,56
2021-07,49
2021-08,56
2021-09,63
2021-10,53
2021-11,49
2021-12,43
2022-01,49
2022-02,53
2022-03,54
2022-04,53
2022-05,57
2022-06,60
2022-07,53
2022-08,56
2022-09,69
2022-10,55
2022-11,52
2022-12,42
2023-01,46
2023-02,45
2023-03,50
2023-04,50
2023-05,50
2023-06,46
2023-07,40
2023-08,45
2023-09,51
2023-10,47
2023-11,41
2023-12,37
2024-01,36
2024-02,33
2024-03,35
2024-04,38
2024-05,38
2024-06,37
2024-07,31
2024-08,36
2024-09,45
2024-10,38
2024-11,35
2024-12,28
2025-01,32
2025-02,32
2025-03,37
2025-04,34
2025-05,35
2025-06,32
2025-07,32
2025-08,35
2025-09,38
2025-10,35
2025-11,33
2025-12,28
2026-01,29
