Categoria: Todas as categorias

Mês,ansiedade: (Brasil)
2015-01,20
2015-02,21
2015-03,23
2015-04,24
2015-05,22
2015-06,23
2015-07,25
2015-08,25
2015-09,25
2015-10,25
2015-11,25
2015-12,23
2016-01,22
2016-02,24
2016-03,26
2016-04,27
2016-05,26
2016-06,25
2016-07,25
2016-08,28
2016-09,31
2016-10,29
2016-11,29
2016-12,26
2017-01,31
2017-02,31
2017-03,35
2017-04,31
2017-05,34
2017-06,33
2017-07,32
2017-08,37
2017-09,38
2017-10,36
2017-11,37
2017-12,35
2018-01,37
2018-02,39
2018-03,39
2018-04,43
2018-05,42
2018-06,42
2018-07,41
2018-08,45
2018-09,47
2018-10,45
2018-11,48
2018-12,43
2019-01,48
2019-02,50
2019-03,51
2019-04,56
2019-05,58
2019-06,55
2019-07,56
2019-08,62
2019-09,65
2019-10,61
2019-11,62
2019-12,53
2020-01,64
2020-02,70
2020-03,69
2020-04,75
2020-05,79
2020-06,77
2020-07,79
2020-08,70
2020-09,75
2020-10,69
2020-11,71
2020-12,77
2021-01,83
2021-02,78
2021-03,91
2021-04,91
2021-05,84
2021-06,83
2021-07,73
2021-08,81
2021-09,83
2021-10,76
2021-11,71
2021-12,69
2022-01,86
2022-02,85
2022-03,90
2022-04,90
2022-05,85
2022-06,93
2022-07,89
2022-08,87
2022-09,97
2022-10,84
2022-11,85
2022-12,79
2023-01,91
2023-02,97
2023-03,100
2023-04,99
2023-05,91
2023-06,84
2023-07,79
2023-08,82
2023-09,90
2023-10,81
2023-11,76
2023-12,77
2024-01,83
2024-02,76
2024-03,72
2024-04,76
2024-05,71
2024-06,81
2024-07,85
2024-08,80
2024-09,77
2024-10,77
2024-11,67
2024-12,61
2025-01,69
2025-02,73
2025-03,67
2025-04,67
2025-05,62
2025-06,62
2025-07,64
2025-08,69
2025-09,70
2025-10,68
2025-11,65
2025-12,60
2026-01,67
