Categoria: Todas as categorias

Mês,Suicídio: (Brasil)
2015-01,30
2015-02,42
2015-03,33
2015-04,41
2015-05,40
2015-06,36
2015-07,30
2015-08,32
2015-09,38
2015-10,33
2015-11,35
2015-12,35
2016-01,31
2016-02,35
2016-03,35
2016-04,38
2016-05,37
2016-06,37
2016-07,33
2016-08,48
2016-09,50
2016-10,37
2016-11,38
2016-12,33
2017-01,48
2017-02,35
2017-03,35
2017-04,68
2017-05,52
2017-06,39
2017-07,53
2017-08,48
2017-09,62
2017-10,64
2017-11,47
2017-12,60
2018-01,44
2018-02,43
2018-03,39
2018-04,54
2018-05,54
2018-06,53
2018-07,46
2018-08,49
2018-09,78
2018-10,56
2018-11,55
2018-12,49
2019-01,48
2019-02,51
2019-03,56
2019-04,85
2019-05,62
2019-06,44
2019-07,65
2019-08,47
2019-09,100
2019-10,56
2019-11,48
2019-12,40
2020-01,41
2020-02,39
2020-03,48
2020-04,34
2020-05,59
2020-06,34
2020-07,32
2020-08,31
2020-09,61
2020-10,39
2020-11,39
2020-12,30
2021-01,33
2021-02,31
2021-03,34
2021-04,34
2021-05,32
2021-06,27
2021-07,25
2021-08,40
2021-09,58
2021-10,35
2021-11,32
2021-12,29
2022-01,30
2022-02,31
2022-03,33
2022-04,31
2022-05,34
2022-06,32
2022-07,32
2022-08,34
2022-09,57
2022-10,36
2022-11,30
2022-12,29
2023-01,31
2023-02,28
2023-03,31
2023-04,32
2023-05,29
2023-06,28
2023-07,30
2023-08,30
2023-09,60
2023-10,41
2023-11,29
2023-12,33
2024-01,29
2024-02,28
2024-03,32
2024-04,29
2024-05,28
2024-06,24
2024-07,24
2024-08,32
2024-09,51
2024-10,32
2024-11,29
2024-12,25
2025-01,25
2025-02,24
2025-03,26
2025-04,25
2025-05,26
2025-06,25
2025-07,26
2025-08,27
2025-09,44
2025-10,27
2025-11,29
2025-12,27
2026-01,24
